	samples = 8285184
	channels = 2
	totalsamples = 16570368
	samples per point = 1024
	meterScale = 300
	tolerance = 1.5
	SongLength = 172.608
	BPM detected = 69.8693

UpBeats:(201)

	index     timeInSong          startsample         endsample           energy              
	--------- ------------------- ------------------- ------------------- ------------------- 
		126       1.344               129024              130047              8.313699            
		215       2.293333            220160              221183              17.96184            
		301       3.210667            308224              309247              16.24178            
		427       4.554667            437248              438271              15.89781            
		470       5.013333            481280              482303              16.97797            
		559       5.962667            572416              573439              20.79826            
		646       6.890666            661504              662527              19.47571            
		689       7.349333            705536              706559              16.73631            
		728       7.765333            745472              746495              14.89755            
		858       9.152               878592              879615              16.53473            
		901       9.610666            922624              923647              16.99968            
		989       10.54933            1012736             1013759             19.81552            
		1033      11.01867            1057792             1058815             19.8528             
		1076      11.47733            1101824             1102847             18.63508            
		1119      11.936              1145856             1146879             17.93676            
		1162      12.39467            1189888             1190911             17.56295            
		1245      13.28               1274880             1275903             15.702              
		1332      14.208              1363968             1364991             17.57841            
		1420      15.14667            1454080             1455103             19.68518            
		1507      16.07467            1543168             1544191             20.29296            
		1550      16.53333            1587200             1588223             18.29095            
		1676      17.87733            1716224             1717247             16.20413            
		1720      18.34667            1761280             1762303             15.02315            
		1850      19.73333            1894400             1895423             17.82494            
		1894      20.20267            1939456             1940479             18.90866            
		1937      20.66133            1983488             1984511             19.90865            
		1982      21.14133            2029568             2030591             19.39261            
		2107      22.47467            2157568             2158591             14.49868            
		2194      23.40267            2246656             2247679             16.55931            
		2281      24.33067            2335744             2336767             16.46631            
		2412      25.728              2469888             2470911             19.34237            
		2455      26.18667            2513920             2514943             18.16503            
		2581      27.53067            2642944             2643967             13.56516            
		2625      28                  2688000             2689023             14.81185            
		2669      28.46933            2733056             2734079             15.08176            
		2755      29.38667            2821120             2822143             17.2867             
		2799      29.856              2866176             2867199             18.93444            
		2843      30.32533            2911232             2912255             18.60789            
		2887      30.79467            2956288             2957311             17.71911            
		2930      31.25333            3000320             3001343             14.78512            
		3056      32.59733            3129344             3130367             13.92675            
		3142      33.51467            3217408             3218431             14.4217             
		3186      33.984              3262464             3263487             14.95805            
		3231      34.464              3308544             3309567             15.7972             
		3274      34.92267            3352576             3353599             19.04394            
		3317      35.38133            3396608             3397631             18.918              
		3361      35.85067            3441664             3442687             13.75665            
		3443      36.72533            3525632             3526655             13.69023            
		3596      38.35733            3682304             3683327             8.406423            
		3660      39.04               3747840             3748863             16.10705            
		3705      39.52               3793920             3794943             16.89298            
		3749      39.98933            3838976             3839999             16.1497             
		3792      40.448              3883008             3884031             15.72914            
		3835      40.90667            3927040             3928063             12.96426            
		3961      42.25067            4056064             4057087             14.44138            
		4091      43.63733            4189184             4190207             15.62355            
		4136      44.11733            4235264             4236287             17.16503            
		4179      44.576              4279296             4280319             19.30083            
		4223      45.04533            4324352             4325375             16.70127            
		4266      45.504              4368384             4369407             13.72598            
		4305      45.92               4408320             4409343             13.37733            
		4435      47.30667            4541440             4542463             13.76429            
		4478      47.76534            4585472             4586495             14.28522            
		4523      48.24533            4631552             4632575             16.87648            
		4610      49.17333            4720640             4721663             18.77528            
		4654      49.64267            4765696             4766719             16.34697            
		4697      50.10133            4809728             4810751             13.60149            
		4823      51.44533            4938752             4939775             15.50656            
		4866      51.904              4982784             4983807             16.95147            
		4954      52.84267            5072896             5073919             18.55243            
		4997      53.30133            5116928             5117951             18.59444            
		5025      53.6                5145600             5146623             3.043257            
		5616      59.904              5750784             5751807             1.78016             
		5728      61.09867            5865472             5866495             15.90949            
		5771      61.55733            5909504             5910527             16.28628            
		5816      62.03733            5955584             5956607             19.48503            
		5903      62.96533            6044672             6045695             19.95716            
		5946      63.424              6088704             6089727             17.74275            
		6033      64.352              6177792             6178815             17.1091             
		6159      65.696              6306816             6307839             16.49312            
		6202      66.15466            6350848             6351871             17.55708            
		6290      67.09333            6440960             6441983             19.33408            
		6334      67.56267            6486016             6487039             19.04518            
		6377      68.02133            6530048             6531071             18.06417            
		6421      68.49067            6575104             6576127             16.23825            
		6465      68.96               6620160             6621183             14.45479            
		6503      69.36533            6659072             6660095             14.23682            
		6633      70.752              6792192             6793215             14.28195            
		6677      71.22134            6837248             6838271             15.59325            
		6763      72.13866            6925312             6926335             16.70646            
		6808      72.61867            6971392             6972415             18.11298            
		6852      73.088              7016448             7017471             18.84616            
		6894      73.536              7059456             7060479             16.08486            
		6938      74.00533            7104512             7105535             13.90923            
		7064      75.34933            7233536             7234559             14.61647            
		7151      76.27734            7322624             7323647             14.71533            
		7239      77.216              7412736             7413759             17.74844            
		7282      77.67467            7456768             7457791             18.42813            
		7326      78.144              7501824             7502847             15.66459            
		7408      79.01867            7585792             7586815             14.11134            
		7538      80.40533            7718912             7719935             14.27492            
		7582      80.87466            7763968             7764991             15.08139            
		7711      82.25066            7896064             7897087             8.480331            
		7800      83.2                7987200             7988223             14.53126            
		7926      84.544              8116224             8117247             13.57072            
		7969      85.00267            8160256             8161279             14.49391            
		8057      85.94133            8250368             8251391             16.96697            
		8144      86.86933            8339456             8340479             18.7735             
		8231      87.79733            8428544             8429567             16.91223            
		8313      88.672              8512512             8513535             15.77666            
		8444      90.06934            8646656             8647679             14.5389             
		8487      90.528              8690688             8691711             15.0788             
		8531      90.99733            8735744             8736767             15.22842            
		8575      91.46667            8780800             8781823             18.46229            
		8618      91.92533            8824832             8825855             18.23988            
		8662      92.39467            8869888             8870911             16.95428            
		8744      93.26933            8953856             8954879             13.67578            
		8831      94.19733            9042944             9043967             16.52493            
		9005      96.05334            9221120             9222143             20.83481            
		9049      96.52267            9266176             9267199             16.19424            
		9093      96.992              9311232             9312255             16.06405            
		9136      97.45067            9355264             9356287             13.80524            
		9262      98.79467            9484288             9485311             14.46189            
		9350      99.73333            9574400             9575423             17.67122            
		9480      101.12              9707520             9708543             17.90807            
		9523      101.5787            9751552             9752575             18.81591            
		9567      102.048             9796608             9797631             14.9464             
		9693      103.392             9925632             9926655             15.96369            
		9823      104.7787            10058752            10059775            15.33377            
		9867      105.248             10103808            10104831            17.31299            
		9998      106.6453            10237952            10238975            17.43495            
		10041     107.104             10281984            10283007            14.39264            
		10123     107.9787            10365952            10366975            13.2184             
		10211     108.9173            10456064            10457087            17.17338            
		10342     110.3147            10590208            10591231            19.35451            
		10456     111.5307            10706944            10707967            4.768351            
		10554     112.576             10807296            10808319            12.56833            
		10598     113.0453            10852352            10853375            16.15824            
		10685     113.9733            10941440            10942463            16.4685             
		10729     114.4427            10986496            10987519            18.08553            
		10772     114.9013            11030528            11031551            18.36401            
		10816     115.3707            11075584            11076607            19.59622            
		10859     115.8293            11119616            11120639            17.88561            
		10985     117.1733            11248640            11249663            14.76193            
		11029     117.6427            11293696            11294719            15.21047            
		11072     118.1013            11337728            11338751            17.92409            
		11161     119.0507            11428864            11429887            18.78493            
		11204     119.5093            11472896            11473919            19.50405            
		11354     121.1093            11626496            11627519            6.934655            
		11359     121.1627            11631616            11632639            6.568323            
		11442     122.048             11716608            11717631            5.978188            
		11525     122.9333            11801600            11802623            7.113013            
		11650     124.2667            11929600            11930623            5.674629            
		11666     124.4373            11945984            11947007            4.746714            
		11836     126.2507            12120064            12121087            4.993057            
		11965     127.6267            12252160            12253183            3.863588            
		11995     127.9467            12282880            12283903            4.682824            
		12088     128.9387            12378112            12379135            4.61179             
		12125     129.3333            12416000            12417023            4.398429            
		12220     130.3467            12513280            12514303            2.931632            
		12488     133.2053            12787712            12788735            1.814152            
		12496     133.2907            12795904            12796927            2.499412            
		12538     133.7387            12838912            12839935            7.587554            
		12627     134.688             12930048            12931071            14.53057            
		12670     135.1467            12974080            12975103            14.7405             
		12796     136.4907            13103104            13104127            12.80189            
		12883     137.4187            13192192            13193215            14.81641            
		12926     137.8773            13236224            13237247            14.89409            
		12970     138.3467            13281280            13282303            15.19474            
		13057     139.2747            13370368            13371391            13.97209            
		13140     140.16              13455360            13456383            13.48158            
		13270     141.5467            13588480            13589503            14.25386            
		13401     142.944             13722624            13723647            15.79378            
		13445     143.4133            13767680            13768703            18.43729            
		13489     143.8827            13812736            13813759            18.3361             
		13532     144.3413            13856768            13857791            16.75195            
		13575     144.8               13900800            13901823            13.85107            
		13701     146.144             14029824            14030847            13.06847            
		13745     146.6133            14074880            14075903            13.17804            
		13789     147.0827            14119936            14120959            16.73525            
		13832     147.5413            14163968            14164991            19.36233            
